N.º,Año,Departamento,Provincia,Edad,Relacion con la víctima,Forma del feminicidio,Lugar de ocurrencia
1,2009,Lambayeque,Chiclayo,38,Pareja o ex pareja,Asfixiada o estrangulada,Casa
2,2009,Cusco,Chumbivilcas,45,Pareja o ex pareja,Acuchillada,Casa
3,2009,Lima,Lima,20,Pareja o ex pareja,Acuchillada,Casa
4,2009,Lima,Huaral,13,Familia,Asfixiada o estrangulada,Casa
5,2009,Lima,Lima,42,Pareja o ex pareja,Baleada,Casa
6,2009,Junín,Tarma,49,Pareja o ex pareja,Acuchillada,Casa
7,2009,Lima,Lima,78,Pareja o ex pareja,Asfixiada o estrangulada,Casa
8,2009,Lima,Lima,49,Pareja o ex pareja,Envenenada,Fuera de Casa
9,2009,Callao,Callao,9,Familia,Envenenada,Fuera de Casa
10,2009,Callao,Callao,11,Familia,Envenenada,Fuera de Casa
11,2009,San Martín,Rioja,47,Pareja o ex pareja,Acuchillada,Casa
12,2009,Lima,Lima,30,Pareja o ex pareja,Baleada,Fuera de Casa
13,2009,Junín,Huancayo,23,Pareja o ex pareja,Golpeada,Casa
14,2009,Huánuco,Huánuco,46,Familia,Baleada,Fuera de Casa
15,2009,Lima,Lima,40,Pareja o ex pareja,Golpeada,Fuera de Casa
16,2009,La Libertad,Julcán,32,Pareja o ex pareja,Acuchillada,Casa
17,2009,San Martín,Rioja,52,Pareja o ex pareja,Acuchillada,Casa
18,2009,Huánuco,Huánuco,26,Pareja o ex pareja,Baleada,Fuera de Casa
19,2009,Puno,San Antonio de Putina,28,Pareja o ex pareja,Acuchillada,Casa
20,2009,Lima,Lima,23,Pareja o ex pareja,Golpeada,Fuera de Casa
21,2009,Ayacucho,La Mar,27,Pareja o ex pareja,Baleada,Fuera de Casa
22,2009,Huánuco,Ambo,42,Pareja o ex pareja,Golpeada,Casa
23,2009,Lima,Lima,25,Pareja o ex pareja,Baleada,Fuera de Casa
24,2009,Lima,Lima,20,Pareja o ex pareja,Acuchillada,Casa
25,2009,Puno,Melgar,34,Pareja o ex pareja,Asfixiada o estrangulada,Casa
26,2009,Cusco,Cusco,26,Cliente de una trabajora sexual,Acuchillada,Casa
27,2009,Áncash,Recuay,22,Pareja o ex pareja,Baleada,Fuera de Casa
28,2009,La Libertad,Trujillo,25,Pareja o ex pareja,Baleada,Fuera de Casa
29,2009,Huancavelica,Acobamba,22,Pareja o ex pareja,Acuchillada,Fuera de Casa
30,2009,Lima,Lima,23,Pareja o ex pareja,Baleada,Casa
31,2009,San Martín,Rioja,76,Familia,Desbarrancada,Fuera de Casa
32,2009,Ica,Pisco,49,Pareja o ex pareja,Golpeada,Casa
33,2009,Lima,Lima,18,Pareja o ex pareja,Baleada,Casa
34,2009,Junín,Chupaca,39,Pareja o ex pareja,Golpeada,Fuera de Casa
35,2009,San Martín,San Martín,39,Pareja o ex pareja,Baleada,Fuera de Casa
36,2009,San Martín,Mariscal Cáceres,38,Pareja o ex pareja,Acuchillada,Fuera de Casa
37,2009,Áncash,Santa,30,Pareja o ex pareja,Acuchillada,Fuera de Casa
38,2009,Lima,Lima,16,Cliente de una trabajora sexual,Asfixiada o estrangulada,Fuera de Casa
39,2009,Lima,Lima,26,Pareja o ex pareja,Golpeada,Fuera de Casa
40,2009,Huánuco,Leoncio Prado,24,Pareja o ex pareja,Baleada,Casa
41,2009,Ica,Chincha,42,Pareja o ex pareja,Quemada,Casa
42,2009,Loreto,Maynas,1,Familia,Asfixiada o estrangulada,Casa
43,2009,Amazonas,Utcubamba,51,Pareja o ex pareja,Acuchillada,Fuera de Casa
44,2009,La Libertad,Pataz,2,Familia,Envenenada,Casa
45,2009,Cajamarca,San Pablo,17,Pareja o ex pareja,Envenenada,Fuera de Casa
46,2009,Lima,Lima,46,Pareja o ex pareja,Envenenada,Casa
47,2009,Ica,Ica,21,Pareja o ex pareja,Asfixiada o estrangulada,Casa
48,2009,Lambayeque,Chiclayo,35,Pareja o ex pareja,Acuchillada,Fuera de Casa
49,2009,Tacna,Tacna,79,Familia,Acuchillada,Casa
50,2009,Puno,Puno,16,Familia,Golpeada,Fuera de Casa
51,2009,Cajamarca,Cajabamba,20,Pareja o ex pareja,Golpeada,Fuera de Casa
52,2009,Lima,Lima,21,Pareja o ex pareja,Acuchillada,Fuera de Casa
53,2009,Lima,Lima,31,Pareja o ex pareja,Baleada,Fuera de Casa
54,2009,Junín,Huancayo,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
55,2009,Tacna,Tacna,24,Pareja o ex pareja,Asfixiada o estrangulada,Casa
56,2009,Cusco,Cusco,31,Pareja o ex pareja,Asfixiada o estrangulada,Casa
57,2009,Lima,Lima,39,Pareja o ex pareja,Baleada,Casa
58,2009,Junín,Huancayo,12,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
59,2009,Tacna,Tacna,30,Cliente de una trabajora sexual,Golpeada,Fuera de Casa
60,2009,Piura,Talara,26,Pareja o ex pareja,Envenenada,Casa
61,2009,Huancavelica,Tayacaja,32,Pareja o ex pareja,Golpeada,Casa
62,2009,Lima,Lima,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
63,2009,Huánuco,Ambo,2,Familia,Asfixiada o estrangulada,Fuera de Casa
64,2009,Junín,Huancayo,39,Conocido,Acuchillada,Fuera de Casa
65,2009,Junín,Chanchamayo,35,Pareja o ex pareja,Acuchillada,Casa
66,2009,Arequipa,Arequipa,28,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
67,2009,Loreto,Maynas,32,Pareja o ex pareja,Acuchillada,Casa
68,2009,Junín,Huancayo,45,Familia,Acuchillada,Fuera de Casa
69,2009,Junín,Huancayo,24,Pareja o ex pareja,Acuchillada,Casa
70,2009,Junín,Huancayo,17,Pareja o ex pareja,Baleada,Fuera de Casa
71,2009,Cusco,Quispicanchi,17,Familia,Acuchillada,Casa
72,2009,Tacna,Tacna,78,Conocido,Asfixiada o estrangulada,Casa
73,2009,Puno,Puno,29,Cliente de una trabajora sexual,Asfixiada o estrangulada,Fuera de Casa
74,2009,Lima,Cañete,42,Conocido,Asfixiada o estrangulada,Fuera de Casa
75,2009,Ica,Chincha,61,Pareja o ex pareja,Baleada,Casa
76,2009,Ayacucho,Víctor Fajardo,70,Familia,Golpeada,Casa
77,2009,Pasco,Pasco,40,Familia,Golpeada,Casa
78,2009,Callao,Callao,20,Pareja o ex pareja,Baleada,Fuera de Casa
79,2009,Lima,Lima,36,Pareja o ex pareja,Acuchillada,Fuera de Casa
80,2009,Ayacucho,Huamanga,3,Familia,Asfixiada o estrangulada,Fuera de Casa
81,2009,Tacna,Tacna,20,Cliente de una trabajora sexual,Asfixiada o estrangulada,Fuera de Casa
82,2009,Cusco,La Convención,30,Pareja o ex pareja,Baleada,Fuera de Casa
83,2009,Cajamarca,Jaén,11,Conocido,Asfixiada o estrangulada,Fuera de Casa
84,2009,Arequipa,Caylloma,37,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
85,2009,Junín,Huancayo,24,Pareja o ex pareja,Acuchillada,Casa
86,2009,Arequipa,Arequipa,49,Pareja o ex pareja,Baleada,Fuera de Casa
87,2009,Lima,Lima,50,Pareja o ex pareja,Acuchillada,Casa
88,2009,La Libertad,Virú,2,Familia,Envenenada,Casa
89,2009,Lambayeque,Chiclayo,24,Pareja o ex pareja,Acuchillada,Casa
90,2009,Lima,Lima,83,Familia,Acuchillada,Casa
91,2009,Lima,Lima,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
92,2009,Lambayeque,Chiclayo,50,Pareja o ex pareja,Acuchillada,Fuera de Casa
93,2009,Arequipa,Caylloma,13,Familia,Golpeada,Casa
94,2009,Lima,Lima,16,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
95,2009,Arequipa,Arequipa,55,Pareja o ex pareja,Golpeada,Casa
96,2009,Junín,Tarma,29,Pareja o ex pareja,Golpeada,Fuera de Casa
97,2009,Ayacucho,Huamanga,3,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
98,2009,Junín,Chupaca,28,Pareja o ex pareja,Golpeada,Casa
99,2009,Áncash,Huaraz,51,Pareja o ex pareja,Golpeada,Casa
100,2009,Lima,Cañete,22,Pareja o ex pareja,Acuchillada,Casa
101,2009,Cajamarca,San Ignacio,39,Familia,Asfixiada o estrangulada,Fuera de Casa
102,2009,Lima,Lima,16,Pareja o ex pareja,Golpeada,Casa
103,2009,Áncash,Carhuaz,19,Conocido,Asfixiada o estrangulada,Fuera de Casa
104,2009,Lima,Lima,15,Conocido,Asfixiada o estrangulada,Casa
105,2009,Lima,Lima,32,Pareja o ex pareja,Golpeada,Casa
106,2009,San Martín,San Martín,50,Conocido,Baleada,Fuera de Casa
107,2009,Lima,Lima,36,Pareja o ex pareja,Acuchillada,Fuera de Casa
108,2009,Piura,Paita,38,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
109,2009,Ica,Chincha,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
110,2009,Pasco,Oxapampa,19,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
111,2009,Lima,Lima,59,Pareja o ex pareja,Baleada,Casa
112,2009,Lima,Huaura,51,Pareja o ex pareja,Acuchillada,Casa
113,2009,Ayacucho,Huamanga,23,Pareja o ex pareja,Envenenada,Casa
114,2009,Cusco,Cusco,12,Familia,Envenenada,Casa
115,2009,Lima,Canta,37,Pareja o ex pareja,Acuchillada,Fuera de Casa
116,2009,Amazonas,Utcubamba,32,Conocido,Golpeada,Fuera de Casa
117,2009,Huánuco,Huánuco,26,Pareja o ex pareja,Golpeada,Fuera de Casa
118,2009,Huánuco,Huánuco,35,Pareja o ex pareja,Acuchillada,Casa
119,2009,Lima,Lima,73,Familia,Envenenada,Casa
120,2009,Lima,Cañete,26,Pareja o ex pareja,Asfixiada o estrangulada,Casa
121,2009,Lima,Lima,50,Familia,Acuchillada,Casa
122,2009,Lima,Lima,19,Pareja o ex pareja,Acuchillada,Casa
123,2009,Puno,Puno,21,Pareja o ex pareja,Golpeada,Casa
124,2009,Cusco,La Convención,6,Familia,Asfixiada o estrangulada,Fuera de Casa
125,2009,Cusco,Cusco,34,Pareja o ex pareja,Golpeada,Fuera de Casa
126,2009,San Martín,Moyobamba,47,Pareja o ex pareja,Acuchillada,Casa
127,2009,Lima,Barranca,2,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
128,2009,Lima,Lima,14,Familia,Golpeada,Casa
129,2009,Lima,Lima,39,Pareja o ex pareja,Acuchillada,Casa
130,2009,Lima,Lima,45,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
131,2009,Áncash,Huaraz,26,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
132,2009,Cajamarca,Jaén,14,Pareja o ex pareja,Golpeada,Fuera de Casa
133,2009,Ica,Ica,14,Familia,Envenenada,Casa
134,2009,Lambayeque,Chiclayo,34,Pareja o ex pareja,Baleada,Fuera de Casa
135,2009,Ica,Chincha,24,Pareja o ex pareja,Asfixiada o estrangulada,Casa
136,2009,Cajamarca,Chota,30,Pareja o ex pareja,Baleada,Fuera de Casa
137,2009,Arequipa,Camaná,25,Pareja o ex pareja,Acuchillada,Casa
138,2009,Ayacucho,Vilcashuamán,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
139,2009,Huánuco,Leoncio Prado,23,Pareja o ex pareja,Baleada,Casa
140,2009,Huánuco,Huánuco,44,Conocido,Baleada,Casa
141,2009,Cajamarca,Chota,30,Pareja o ex pareja,Acuchillada,Casa
142,2009,Junín,Concepción,22,Pareja o ex pareja,Envenenada,Casa
143,2009,Ayacucho,Huamanga,18,Conocido,Asfixiada o estrangulada,Fuera de Casa
144,2009,Huancavelica,Huancavelica,20,Pareja o ex pareja,Ahorcada,Casa
145,2009,Cajamarca,Cajamarca,20,Pareja o ex pareja,Baleada,Casa
146,2009,Lima,Lima,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
147,2009,Lima,Lima,31,Familia,Acuchillada,Fuera de Casa
148,2009,Cusco,Calca,33,Pareja o ex pareja,Golpeada,Fuera de Casa
149,2009,Puno,Lampa,33,Pareja o ex pareja,Acuchillada,Casa
150,2009,La Libertad,Trujillo,19,Pareja o ex pareja,Baleada,Casa
151,2009,Lima,Huaral,21,Pareja o ex pareja,Acuchillada,Casa
152,2009,Cajamarca,Cajamarca,24,Pareja o ex pareja,Baleada,Casa
153,2009,Arequipa,Arequipa,17,Pareja o ex pareja,Asfixiada o estrangulada,Casa
154,2009,Lambayeque,Chiclayo,33,Pareja o ex pareja,Asfixiada o estrangulada,Casa
155,2010,Arequipa,Camaná,23,Pareja o ex pareja,Baleada,Casa
156,2010,Lima,Lima,41,Pareja o ex pareja,Acuchillada,Fuera de Casa
157,2010,Lima,Lima,16,Pareja o ex pareja,Asfixiada o estrangulada,Casa
158,2010,Lima,Lima,27,Pareja o ex pareja,Baleada,Casa
159,2010,Lima,Lima,3,Conocido,Acuchillada,Fuera de Casa
160,2010,Áncash,Pallasca,43,Pareja o ex pareja,Acuchillada,Fuera de Casa
161,2010,San Martín,Tocache,44,Familia,Quemada,Casa
162,2010,San Martín,Tocache,10,Familia,Quemada,Casa
163,2010,Callao,Callao,36,Pareja o ex pareja,Desbarrancada,Casa
164,2010,Lima,Lima,33,Familia,Acuchillada,Casa
165,2010,Loreto,Maynas,32,Pareja o ex pareja,Acuchillada,Casa
166,2010,Arequipa,Arequipa,47,Conocido,Golpeada,Casa
167,2010,Apurímac,Abancay,25,Pareja o ex pareja,Acuchillada,Casa
168,2010,Arequipa,Arequipa,29,Pareja o ex pareja,Acuchillada,Casa
169,2010,San Martín,Moyobamba,21,Pareja o ex pareja,Baleada,Fuera de Casa
170,2010,Ucayali,Coronel Portillo,19,Pareja o ex pareja,Golpeada,Fuera de Casa
171,2010,Lima,Lima,38,Pareja o ex pareja,Asfixiada o estrangulada,Casa
172,2010,Huancavelica,Angaraes,5,Familia,Envenenada,Casa
173,2010,Lima,Lima,15,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
174,2010,Lima,Lima,19,Pareja o ex pareja,Asfixiada o estrangulada,Casa
175,2010,Junín,Huancayo,21,Pareja o ex pareja,Desbarrancada,Fuera de Casa
176,2010,Apurímac,Andahuaylas,21,Pareja o ex pareja,Golpeada,Fuera de Casa
177,2010,Lima,Lima,24,Cliente de una trabajora sexual,Asfixiada o estrangulada,Fuera de Casa
178,2010,Lima,Lima,67,Conocido,Golpeada,Fuera de Casa
179,2010,Puno,Lampa,9,Familia,Degollada,Casa
180,2010,Lima,Cañete,29,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
181,2010,Callao,Callao,28,Pareja o ex pareja,Asfixiada o estrangulada,Casa
182,2010,Puno,San Román,24,Cliente de una trabajora sexual,Golpeada,Casa
183,2010,Cusco,Calca,21,Pareja o ex pareja,Ahogada,Fuera de Casa
184,2010,Cusco,Cusco,31,Pareja o ex pareja,Golpeada,Casa
185,2010,Callao,Callao,21,Pareja o ex pareja,Asfixiada o estrangulada,Casa
186,2010,Lima,Lima,22,Pareja o ex pareja,Acuchillada,Fuera de Casa
187,2010,Cusco,La Convención,46,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
188,2010,Áncash,Pallasca,46,Familia,Acuchillada,Fuera de Casa
189,2010,Huancavelica,Huancavelica,2,Familia,Envenenada,Casa
190,2010,Huánuco,Huánuco,38,Pareja o ex pareja,Asfixiada o estrangulada,Casa
191,2010,Junín,Yauli,18,Pareja o ex pareja,Acuchillada,Casa
192,2010,Ayacucho,La Mar,3,Familia,Golpeada,Fuera de Casa
193,2010,Lima,Lima,22,Pareja o ex pareja,Acuchillada,Casa
194,2010,Ucayali,Coronel Portillo,52,Familia,Acuchillada,Casa
195,2010,Ucayali,Coronel Portillo,26,Pareja o ex pareja,Acuchillada,Casa
196,2010,Ayacucho,Huamanga,18,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
197,2010,Ayacucho,Huanta,15,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
198,2010,Lima,Lima,37,Pareja o ex pareja,Asfixiada o estrangulada,Casa
199,2010,Lima,Lima,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
200,2010,Lima,Lima,16,Pareja o ex pareja,Asfixiada o estrangulada,Casa
201,2010,Pasco,Oxapampa,28,Pareja o ex pareja,Golpeada,Casa
202,2010,Lima,Lima,28,Pareja o ex pareja,Acuchillada,Casa
203,2010,Tumbes,Tumbes,26,Pareja o ex pareja,Golpeada,Casa
204,2010,Lima,Lima,14,Familia,Golpeada,Fuera de Casa
205,2010,Lambayeque,Chiclayo,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
206,2010,Lima,Lima,31,Pareja o ex pareja,Acuchillada,Casa
207,2010,Lambayeque,Chiclayo,22,Pareja o ex pareja,Baleada,Casa
208,2010,Ayacucho,Lucanas,28,Pareja o ex pareja,Acuchillada,Casa
209,2010,Piura,Morropón ,24,Pareja o ex pareja,Asfixiada o estrangulada,Casa
210,2010,Lima,Cañete,2,Familia,Golpeada,Casa
211,2010,San Martín,San Martín,44,Pareja o ex pareja,Acuchillada,Fuera de Casa
212,2010,Moquegua,General Sánchez Cerro,24,Desconocido que atacó sexualmente a la víctima,Ahogada,Fuera de Casa
213,2010,Lima,Lima,40,Conocido,Asfixiada o estrangulada,Fuera de Casa
214,2010,Lima,Lima,21,Conocido,Asfixiada o estrangulada,Fuera de Casa
215,2010,Cajamarca,Chota,28,Familia,Baleada,Casa
216,2010,Loreto,Maynas,24,Pareja o ex pareja,Acuchillada,Fuera de Casa
217,2010,Tumbes,Tumbes,24,Pareja o ex pareja,Baleada,Fuera de Casa
218,2010,Puno,Puno,23,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
219,2010,Junín,Junín,42,Pareja o ex pareja,Asfixiada o estrangulada,Casa
220,2010,Lima,Huaral,17,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
221,2010,Cusco,Calca,30,Pareja o ex pareja,Golpeada,Casa
222,2010,Piura,Paita,17,Pareja o ex pareja,Baleada,Fuera de Casa
223,2010,Cusco,Cusco,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
224,2010,Arequipa,Arequipa,48,Familia,Acuchillada,Casa
225,2010,Arequipa,Arequipa,25,Pareja o ex pareja,Acuchillada,Casa
226,2010,Piura,Paita,40,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
227,2010,Áncash,Huaraz,42,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
228,2010,Cusco,Urubamba,32,Pareja o ex pareja,Acuchillada,Fuera de Casa
229,2010,Junín,Jauja,13,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Casa
230,2010,Tacna,Tacna,39,Pareja o ex pareja,Golpeada,Casa
231,2010,Lima,Lima,49,Pareja o ex pareja,Baleada,Casa
232,2010,Loreto,Maynas,61,Pareja o ex pareja,Acuchillada,Casa
233,2010,Lima,Lima,22,Pareja o ex pareja,Acuchillada,Casa
234,2010,Huánuco,Leoncio Prado,7,Conocido,Acuchillada,Casa
235,2010,Huánuco,Leoncio Prado,9,Conocido,Acuchillada,Casa
236,2010,Cajamarca,Cutervo,30,Familia,Degollada,Fuera de Casa
237,2010,Cajamarca,Cutervo,4,Familia,Degollada,Fuera de Casa
238,2010,Arequipa,Arequipa,25,Pareja o ex pareja,Asfixiada o estrangulada,Casa
239,2010,Ayacucho,Huamanga,29,Pareja o ex pareja,Acuchillada,Fuera de Casa
240,2010,Cajamarca,Chota,27,Pareja o ex pareja,Envenenada,Casa
241,2010,Junín,Satipo,22,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
242,2010,Huancavelica,Castrovirreyna,80,Conocido,Asfixiada o estrangulada,Casa
243,2010,Puno,Sandia,49,Pareja o ex pareja,Asfixiada o estrangulada,Casa
244,2010,Áncash,Huaraz,14,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
245,2010,Ica,Palpa,34,Pareja o ex pareja,Golpeada,Casa
246,2010,Lima,Lima,22,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
247,2010,Lima,Lima,29,Pareja o ex pareja,Acuchillada,Casa
248,2010,Ucayali,Coronel Portillo,33,Pareja o ex pareja,Asfixiada o estrangulada,Casa
249,2010,Lima,Cañete,58,Desconocido que atacó sexualmente a la víctima,Golpeada,Fuera de Casa
250,2010,Piura,Sullana,22,Pareja o ex pareja,Asfixiada o estrangulada,Casa
251,2010,Puno,San Román,42,Pareja o ex pareja,Golpeada,Fuera de Casa
252,2010,La Libertad,Trujillo,28,Pareja o ex pareja,Golpeada,Casa
253,2010,Lima,Lima,38,Conocido,Asfixiada o estrangulada,Fuera de Casa
254,2010,Cajamarca,Cajamarca,73,Desconocido que atacó sexualmente a la víctima,Golpeada,Casa
255,2010,Huánuco,Huánuco,26,Pareja o ex pareja,Acuchillada,Casa
256,2010,Lima,Lima,11 meses,Familia,Asfixiada o estrangulada,Casa
257,2010,Lima,Lima,19,Pareja o ex pareja,Acuchillada,Casa
258,2010,La Libertad,Sánchez Carrión,1 mes,Familia,Asfixiada o estrangulada,Casa
259,2010,Cusco,La Convención,38,Pareja o ex pareja,Golpeada,Casa
260,2010,Junín,Concepción,25,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
261,2010,Lima,Lima,54,Familia,Acuchillada,Casa
262,2010,Lima,Lima,16,Desconocido que atacó sexualmente a la víctima,Golpeada,Fuera de Casa
263,2010,Tumbes,Tumbes,20,Pareja o ex pareja,Acuchillada,Fuera de Casa
264,2010,Ayacucho,Huamanga,5,Familia,Acuchillada,Casa
265,2010,Junín,Junín,22,Pareja o ex pareja,Asfixiada o estrangulada,Casa
266,2010,Puno,San Antonio de Putina,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
267,2010,Lima,Lima,35,Cliente de una trabajora sexual,Baleada,Fuera de Casa
268,2010,Pasco,Oxapampa,25,Pareja o ex pareja,Acuchillada,Casa
269,2010,Lima,Lima,28,Pareja o ex pareja,Acuchillada,Fuera de Casa
270,2010,Lima,Barranca,32,Familia,Degollada,Fuera de Casa
271,2010,Callao,Callao,16,Pareja o ex pareja,Baleada,Casa
272,2010,Áncash,Carhuaz,15,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
273,2010,Lima,Lima,38,Pareja o ex pareja,Acuchillada,Fuera de Casa
274,2010,Huánuco,Yarowilca,16,Conocido,Acuchillada,Fuera de Casa
