N.º,Año,Departamento,Provincia,Edad,Relacion con la víctima,Forma del feminicidio,Lugar de ocurrencia
551,2013,Piura,Piura,30,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
552,2013,Piura,Huancabamba,22,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
553,2013,La Libertad,Julcán,23,Pareja o ex pareja,Baleada,Fuera de Casa
554,2013,La Libertad,Julcán,40,Conocido,Baleada,Fuera de Casa
555,2013,Huancavelica,Churcampa,56,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Casa
556,2013,Puno,Huancané,19,Pareja o ex pareja,Degollada,Fuera de Casa
557,2013,Áncash,Santa,17,Pareja o ex pareja,Baleada,Fuera de Casa
558,2013,Lima,Lima,27,Pareja o ex pareja,Degollada,Casa
559,2013,Ica,Nazca,23,Pareja o ex pareja,Acuchillada,Fuera de Casa
560,2013,Áncash,Santa,19,Pareja o ex pareja,Baleada,Fuera de Casa
561,2013,Pasco,Oxapampa,22,Pareja o ex pareja,Baleada,Casa
562,2013,Ayacucho,Huanta,17,Pareja o ex pareja,Asfixiada o estrangulada,Casa
563,2013,Lima,Lima,29,Pareja o ex pareja,Baleada,Fuera de Casa
564,2013,Arequipa,Arequipa,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
565,2013,Callao,Callao,42,Pareja o ex pareja,Golpeada,Fuera de Casa
566,2013,Apurímac,Andahuaylas,17,Pareja o ex pareja,Asfixiada o estrangulada,Casa
567,2013,Junín,Satipo,21,Pareja o ex pareja,Golpeada,Fuera de Casa
568,2013,Lima,Lima,25,Pareja o ex pareja,Acuchillada,Casa
569,2013,Lima,Lima,32,Pareja o ex pareja,Baleada,Casa
570,2013,Lima,Lima,22,Desconocido que atacó sexualmente a la víctima,Golpeada,Fuera de Casa
571,2013,Lima,Lima,41,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
572,2013,Lima,Lima,16,Conocido,Intoxicada por suministro de anestesia,Casa
573,2013,San Martín,San Martín,10,Desconocido que atacó sexualmente a la víctima,Acuchillada,Fuera de Casa
574,2013,Cajamarca,Cajamarca,44,Pareja o ex pareja,Acuchillada,Casa
575,2013,Amazonas,Utcubamba,34,Pareja o ex pareja,Baleada,Fuera de Casa
576,2013,Tacna,Tacna,15,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
577,2013,Ica,Ica,32,Pareja o ex pareja,Baleada,Casa
578,2013,Puno,San Román,24,Pareja o ex pareja,Golpeada,Fuera de Casa
579,2013,Puno,San Román,38,Pareja o ex pareja,Desbarrancada,Casa
580,2013,Lima,Lima,34,Pareja o ex pareja,Acuchillada,Casa
581,2013,Huánuco,Pachitea,27,Pareja o ex pareja,Golpeada,Fuera de Casa
582,2013,Lima,Barranca,27,Pareja o ex pareja,Acuchillada,Casa
583,2013,Lima,Barranca,2,Familia,Acuchillada,Casa
584,2013,Cajamarca,Jaén,29,Pareja o ex pareja,Baleada,Fuera de Casa
585,2013,Junín,Chupaca,28,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
586,2013,Cajamarca,Chota,31,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
587,2013,Lambayeque,Chiclayo,21,Pareja o ex pareja,Degollada,Fuera de Casa
588,2013,Cajamarca,Cajamarca,18,Pareja o ex pareja,Baleada,Casa
589,2013,Lima,Lima,28,Pareja o ex pareja,Asfixiada o estrangulada,Casa
590,2013,Ica,Chincha,19,Pareja o ex pareja,Baleada,Casa
591,2013,Lima,Lima,39,Pareja o ex pareja,Envenenada,Casa
592,2013,Lima,Lima,33,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
593,2013,Ayacucho,Huamanga,28,Pareja o ex pareja,Baleada,Casa
594,2013,Lima,Lima,22,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
595,2013,Lambayeque,Ferreñafe,21,Pareja o ex pareja,Acuchillada,Casa
596,2013,Lima,Lima,28,Pareja o ex pareja,Baleada,Casa
597,2013,Cusco,Cusco,30,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
598,2013,Apurímac,Cotabambas,52,Pareja o ex pareja,Acuchillada,Casa
599,2013,Ayacucho,Huamanga,20,Conocido,Múltiples desgarros a nivel perianal post violación,Fuera de Casa
600,2013,Lima,Lima,46,Pareja o ex pareja,Baleada,Casa
601,2013,Lima,Lima,28,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
602,2013,Lima,Lima,37,Pareja o ex pareja,Baleada,Fuera de Casa
603,2013,Arequipa,Arequipa,27,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
604,2013,Arequipa,Arequipa,3,Familia,Envenenada,Casa
605,2013,Huánuco,Huánuco,15,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
606,2013,Lambayeque,Lambayeque,26,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
607,2013,Lima,Lima,51,Pareja o ex pareja,Asfixiada o estrangulada,Casa
608,2013,Lima,Lima,32,Pareja o ex pareja,Golpeada,Casa
609,2013,Lima,Lima,29,Pareja o ex pareja,Asfixiada o estrangulada,Casa
610,2013,Callao,Callao,36,Pareja o ex pareja,Acuchillada,Fuera de Casa
611,2013,Lima,Lima,36,Pareja o ex pareja,Golpeada,Casa
612,2013,Lima,Lima,28,Pareja o ex pareja,Asfixiada o estrangulada,Casa
613,2013,Lima,Lima,25,Pareja o ex pareja,Baleada,Casa
614,2013,Áncash,Yungay,28,Pareja o ex pareja,Desbarrancada,Fuera de Casa
615,2013,Áncash,Yungay,9,Familia,Desbarrancada,Fuera de Casa
616,2013,Huancavelica,Castrovirreyna,21,Pareja o ex pareja,Golpeada,Fuera de Casa
617,2013,Amazonas,Chachapoyas,77,Familia,Golpeada,Casa
618,2013,Apurímac,Cotabambas,28,Pareja o ex pareja,Quemada,Fuera de Casa
619,2013,Pasco,Oxapampa,38,Pareja o ex pareja,Baleada,Fuera de Casa
620,2013,Tacna,Tacna,53,Conocido,Quemada,Casa
621,2013,Tacna,Tacna,20,Pareja o ex pareja,Asfixiada o estrangulada,Casa
622,2013,Pasco,Oxapampa,37,Pareja o ex pareja,Acuchillada,Fuera de Casa
623,2013,Huancavelica,Churcampa,22,Pareja o ex pareja,Acuchillada,Casa
624,2013,Lambayeque,Lambayeque,54,Pareja o ex pareja,Acuchillada,Fuera de Casa
625,2013,Lima,Lima,21,Pareja o ex pareja,Acuchillada,Fuera de Casa
626,2013,Pasco,Pasco,28,Pareja o ex pareja,Atropellada,Fuera de Casa
627,2013,Lima,Huaura,86,Conocido,Golpeada,Casa
628,2013,Áncash,Huaraz,24,Pareja o ex pareja,Golpeada,Fuera de Casa
629,2013,Cajamarca,Cajamarca,61,Pareja o ex pareja,Acuchillada,Casa
630,2013,Apurímac,Andahuaylas,21,Pareja o ex pareja,Golpeada,Fuera de Casa
631,2013,Lima,Lima,17,Pareja o ex pareja,Acuchillada,Fuera de Casa
632,2013,Piura,Paita,38,Pareja o ex pareja,Acuchillada,Casa
633,2013,Tacna,Tacna,21,Pareja o ex pareja,Acuchillada,Casa
634,2013,Lima,Lima,25,Pareja o ex pareja,Asfixiada o estrangulada,Casa
635,2013,Lima,Lima,20,Pareja o ex pareja,Envenenada,Casa
636,2013,Huánuco,Leoncio Prado,35,Pareja o ex pareja,Asfixiada o estrangulada,Casa
637,2013,Loreto,Alto Amazonas,26,Pareja o ex pareja,Acuchillada,Fuera de Casa
638,2013,Áncash,Yungay,21,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
639,2013,Ucayali,Coronel Portillo,38,Pareja o ex pareja,Acuchillada,Fuera de Casa
640,2013,Piura,Ayabaca,23,Desconocido que atacó sexualmente a la víctima,Acuchillada,Fuera de Casa
641,2013,Lima,Lima,40,Pareja o ex pareja,Baleada,Casa
642,2013,Cajamarca,Cutervo,25,Pareja o ex pareja,Acuchillada,Fuera de Casa
643,2013,Tumbes,Tumbes,24,Pareja o ex pareja,Acuchillada,Casa
644,2013,Lima,Lima,41,Pareja o ex pareja,Acuchillada,Casa
645,2013,Lima,Lima,29,Pareja o ex pareja,Asfixiada o estrangulada,Casa
646,2013,Ucayali,Atalaya,28,Pareja o ex pareja,Baleada,Casa
647,2013,Lima,Lima,23,Pareja o ex pareja,Acuchillada,Fuera de Casa
648,2014,La Libertad,Trujillo,38,Pareja o ex pareja,Golpeada,Casa
649,2014,Lambayeque,Chiclayo,56,Pareja o ex pareja,Golpeada,Casa
650,2014,Lima,Huarochirí,29,Pareja o ex pareja,Acuchillada,Fuera de Casa
651,2014,Lima,Lima,43,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
652,2014,Arequipa,Camaná,17,Conocido,Asfixiada o estrangulada,Fuera de Casa
653,2014,Puno,San Román,27,Pareja o ex pareja,Baleada,Fuera de Casa
654,2014,Arequipa,Castilla,17,Conocido,Asfixiada o estrangulada,Casa
655,2014,Lima,Lima,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
656,2014,Moquegua,Ilo,20,Pareja o ex pareja,Golpeada,Casa
657,2014,Lima,Lima,39,Pareja o ex pareja,Acuchillada,Casa
658,2014,Arequipa,Arequipa,43,Pareja o ex pareja,Acuchillada,Fuera de Casa
659,2014,Puno,San Román,41,Pareja o ex pareja,Golpeada,Fuera de Casa
660,2014,Junín,Huancayo,17,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
661,2014,Arequipa,Caylloma,24,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
662,2014,Lima,Lima,26,Pareja o ex pareja,Acuchillada,Fuera de Casa
663,2014,Cusco,Cusco,15,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
664,2014,Lima,Lima,33,Pareja o ex pareja,Asfixiada o estrangulada,Casa
665,2014,Lima,Lima,29,Cliente de una trabajora sexual,Asfixiada o estrangulada,Fuera de Casa
666,2014,Callao,Callao,51,Pareja o ex pareja,Baleada,Fuera de Casa
667,2014,Puno,San Román,20,Pareja o ex pareja,Asfixiada o estrangulada,Casa
668,2014,Arequipa,Islay,22,Pareja o ex pareja,Golpeada,Fuera de Casa
669,2014,Cusco,Cusco,30,Pareja o ex pareja,Acuchillada,Fuera de Casa
670,2014,Ayacucho,Huamanga,48,Pareja o ex pareja,Golpeada,Fuera de Casa
671,2014,Arequipa,Camaná,28,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
672,2014,Loreto,Maynas,47,Pareja o ex pareja,Golpeada,Fuera de Casa
673,2014,La Libertad,Chepén,20,Pareja o ex pareja,Ahogada,Fuera de Casa
674,2014,Junín,Chanchamayo,25,Pareja o ex pareja,Golpeada,Casa
675,2014,Cusco,La Convención,20,Pareja o ex pareja,Acuchillada,Casa
676,2014,Piura,Piura,26,Pareja o ex pareja,Asfixiada o estrangulada,Casa
677,2014,Áncash,Carhuaz,22,Pareja o ex pareja,No se ha determinado por avanzado estado de descomposición,Fuera de Casa
678,2014,Huánuco,Leoncio Prado,48,Pareja o ex pareja,Golpeada,Casa
679,2014,Áncash,Huari,34,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
680,2014,Huánuco,Puerto Inca,30,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
681,2014,Arequipa,Arequipa,18,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
682,2014,La Libertad,Chepén,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
683,2014,San Martín,Lamas,37,Pareja o ex pareja,Baleada,Fuera de Casa
684,2014,Lima,Lima,18,Pareja o ex pareja,Acuchillada,Fuera de Casa
685,2014,La Libertad,Virú,46,Pareja o ex pareja,Acuchillada,Casa
686,2014,Lambayeque,Chiclayo,19,Familia,Envenenada,Casa
687,2014,Huánuco,Huánuco,49,Pareja o ex pareja,Golpeada,Casa
688,2014,Lima,Lima,54,Pareja o ex pareja,Golpeada,Fuera de Casa
689,2014,Huánuco,Huánuco,28,Pareja o ex pareja,Asfixiada o estrangulada,Casa
690,2014,Lima,Lima,17,Pareja o ex pareja,Envenenada,Casa
691,2014,Lima,Lima,15,Pareja o ex pareja,Asfixiada o estrangulada,Casa
692,2014,Puno,Puno,27,Pareja o ex pareja,Acuchillada,Casa
693,2014,Lima,Lima,24,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
694,2014,Lima,Lima,23,Pareja o ex pareja,Acuchillada,Casa
695,2014,Arequipa,Arequipa,30,Pareja o ex pareja,Asfixiada o estrangulada,Casa
696,2014,Lima,Huaura,31,Pareja o ex pareja,Asfixiada o estrangulada,Casa
697,2014,Cusco,Cusco,50,Pareja o ex pareja,Golpeada,Casa
698,2014,Lima,Lima,33,Pareja o ex pareja,Baleada,Casa
699,2014,Lima,Lima,24,Pareja o ex pareja,Golpeada,Casa
700,2014,Lima,Lima,27,Pareja o ex pareja,Baleada,Fuera de Casa
701,2014,Arequipa,Arequipa,34,Pareja o ex pareja,Acuchillada,Fuera de Casa
702,2014,Pasco,Oxapampa,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
703,2014,Lima,Lima,23,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
704,2014,Puno,Lampa,41,Pareja o ex pareja,Asfixiada o estrangulada,Casa
705,2014,Lima,Lima,18,Pareja o ex pareja,Acuchillada,Casa
706,2014,Arequipa,Caylloma,37,Pareja o ex pareja,Asfixiada o estrangulada,Casa
707,2014,Arequipa,Camaná,31,Pareja o ex pareja,Golpeada,Casa
708,2014,Lima,Huaura,34,Conocido,Golpeada,Fuera de Casa
709,2014,Ayacucho,Vilcashuamán,28,Pareja o ex pareja,Golpeada,Fuera de Casa
710,2014,Junín,Concepción,88,Conocido,Asfixiada o estrangulada,Casa
711,2014,Cusco,Canas,47,Pareja o ex pareja,Golpeada,Fuera de Casa
712,2014,La Libertad,Pataz,36,Pareja o ex pareja,Acuchillada,Casa
713,2014,Cusco,Canchis,27,Pareja o ex pareja,Golpeada,Casa
714,2014,Cajamarca,Cajabamba,20,Pareja o ex pareja,Acuchillada,Casa
715,2014,Lima,Lima,44,Pareja o ex pareja,Asfixiada o estrangulada,Casa
716,2014,Ucayali,Padre Abad,25,Pareja o ex pareja,Baleada,Casa
717,2014,Huánuco,Huánuco,22,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
718,2014,Tacna,Tacna,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
719,2014,Lima,Lima,29,Pareja o ex pareja,Asfixiada o estrangulada,Casa
720,2014,Lima,Lima,44,Pareja o ex pareja,Acuchillada,Casa
721,2014,Junín,Satipo,23,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
722,2014,Ica,Ica,34,Pareja o ex pareja,Asfixiada o estrangulada,Casa
723,2014,Puno,Carabaya,34,Pareja o ex pareja,Asfixiada o estrangulada,Casa
724,2014,Piura,Piura,49,Pareja o ex pareja,Golpeada,Fuera de Casa
725,2014,Pasco,Pasco,18,Pareja o ex pareja,Envenenada,Fuera de Casa
726,2014,Pasco,Oxapampa,25,Pareja o ex pareja,Golpeada,Fuera de Casa
727,2014,Loreto,Alto Amazonas,33,Pareja o ex pareja,Acuchillada,Fuera de Casa
728,2014,Lima,Lima,21,Pareja o ex pareja,Acuchillada,Casa
729,2014,Lima,Lima,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
730,2014,Lima,Lima,42,Pareja o ex pareja,Baleada,Casa
731,2014,Lima,Lima,24,Pareja o ex pareja,Acuchillada,Casa
732,2014,Cusco,Cusco,24,Pareja o ex pareja,Acuchillada,Casa
733,2014,Lima,Lima,22,Pareja o ex pareja,Golpeada,Casa
734,2014,Lambayeque,Lambayeque,21,Pareja o ex pareja,Acuchillada,Casa
735,2014,Lima,Lima,44,Familia,Acuchillada,Casa
736,2014,Puno,Chucuito,30,Pareja o ex pareja,Envenenada,Casa
737,2014,Callao,Callao,22,Pareja o ex pareja,Baleada,Casa
738,2014,Callao,Callao,76,Familia,Baleada,Casa
739,2014,Lima,Lima,30,Pareja o ex pareja,Baleada,Casa
740,2014,Ayacucho,La Mar,19,Pareja o ex pareja,Acuchillada,Casa
741,2014,Lambayeque,Ferreñafe,25,Pareja o ex pareja,Acuchillada,Casa
742,2014,Cusco,Calca,43,Pareja o ex pareja,Ahogada,Fuera de Casa
743,2014,Lima,Lima,17,Familia,Asfixiada o estrangulada,Casa
744,2014,Amazonas,Utcubamba,17,Conocido,Baleada,Fuera de Casa
745,2015,Arequipa,Arequipa,28,Pareja o ex pareja,Asfixiada o estrangulada,Casa
746,2015,Callao,Callao,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
747,2015,Cusco,Cusco,24,Pareja o ex pareja,Envenenada,Fuera de Casa
748,2015,Lima,Lima,25,Pareja o ex pareja,Asfixiada o estrangulada,Casa
749,2015,Lima,Lima,17,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
750,2015,Lima,Lima,26,Pareja o ex pareja,Acuchillada,Casa
751,2015,Callao,Callao,33,Pareja o ex pareja,Baleada,Fuera de Casa
752,2015,Lima,Lima,19,Pareja o ex pareja,Acuchillada,Casa
753,2015,Lima,Lima,15,Familia,Asfixiada o estrangulada,Fuera de Casa
754,2015,Cajamarca,Cajamarca,29,Pareja o ex pareja,Acuchillada,Fuera de Casa
755,2015,Cajamarca,Cajamarca,57,Familia,Acuchillada,Fuera de Casa
756,2015,Ucayali,Coronel Portillo,19,Pareja o ex pareja,Envenenada,Fuera de Casa
757,2015,Piura,Piura,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
758,2015,Lima,Lima,46,Pareja o ex pareja,Acuchillada,Fuera de Casa
759,2015,Arequipa,Arequipa,31,Pareja o ex pareja,Asfixiada o estrangulada,Casa
760,2015,Apurímac,Abancay,55,Pareja o ex pareja,Acuchillada,Casa
761,2015,Apurímac,Antabamba,14,Desconocido que atacó sexualmente a la víctima,Golpeada,Fuera de Casa
762,2015,Ayacucho,Huanta,28,Pareja o ex pareja,Asfixiada o estrangulada,Casa
763,2015,Lima,Lima,24,Pareja o ex pareja,Acuchillada,Casa
764,2015,Callao,Callao,22,Pareja o ex pareja,Baleada,Fuera de Casa
765,2015,La Libertad,Trujillo,70,Pareja o ex pareja,Golpeada,Casa
766,2015,Huancavelica,Huancavelica,4,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
767,2015,Lima,Lima,32,Pareja o ex pareja,Desbarrancada,Fuera de Casa
768,2015,Arequipa,Arequipa,46,Pareja o ex pareja,Acuchillada,Casa
769,2015,Cajamarca,Chota,41,Pareja o ex pareja,Acuchillada,Casa
770,2015,Lima,Lima,22,Pareja o ex pareja,Baleada,Fuera de Casa
771,2015,Lima,Lima,18,Pareja o ex pareja,Acuchillada,Casa
772,2015,Lima,Lima,32,Pareja o ex pareja,Acuchillada,Casa
773,2015,Lima,Lima,19,Pareja o ex pareja,Baleada,Casa
774,2015,San Martín,San Martín,40,Pareja o ex pareja,Acuchillada,Casa
775,2015,Piura,Huancabamba,20,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
776,2015,Áncash,Huaraz,19,Pareja o ex pareja,Desbarrancada,Fuera de Casa
777,2015,Arequipa,Arequipa,24,Pareja o ex pareja,Asfixiada o estrangulada,Casa
778,2015,Lima,Lima,20,Pareja o ex pareja,Asfixiada o estrangulada,Casa
779,2015,Ica,Pisco,20,Pareja o ex pareja,Baleada,Fuera de Casa
780,2015,Huánuco,Leoncio Prado,39,Pareja o ex pareja,Baleada,Casa
781,2015,Ucayali,Coronel Portillo,28,Pareja o ex pareja,Golpeada,Fuera de Casa
782,2015,Lima,Lima,23,Pareja o ex pareja,Baleada,Casa
783,2015,Cusco,Cusco,44,Pareja o ex pareja,Acuchillada,Casa
784,2015,Arequipa,Arequipa,47,Pareja o ex pareja,Golpeada,Casa
785,2015,Ica,Pisco,18,Pareja o ex pareja,Baleada,Casa
786,2015,Lima,Lima,27,Pareja o ex pareja,Baleada,Fuera de Casa
787,2015,Junín,Huancayo,40,Pareja o ex pareja,Golpeada,Casa
788,2015,Moquegua,Mariscal Nieto,55,Pareja o ex pareja,Golpeada,Casa
789,2015,Ayacucho,Huamanga,22,Pareja o ex pareja,Acuchillada,Casa
790,2015,Lima,Lima,31,Pareja o ex pareja,Golpeada,Casa
791,2015,Lima,Lima,41,Pareja o ex pareja,Envenenada,Casa
792,2015,Lima,Lima,27,Pareja o ex pareja,Acuchillada,Casa
793,2015,Lima,Lima,37,Pareja o ex pareja,Golpeada,Casa
794,2015,Áncash,Huari,22,Pareja o ex pareja,Envenenada,Casa
795,2015,Cusco,Cusco,20,Pareja o ex pareja,Golpeada,Casa
796,2015,Arequipa,Arequipa,38,Pareja o ex pareja,Golpeada,Casa
797,2015,Lima,Lima,38,Pareja o ex pareja,Acuchillada,Casa
798,2015,Lima,Lima,17,Pareja o ex pareja,Baleada,Fuera de Casa
799,2015,Ayacucho,Huamanga,26,Pareja o ex pareja,Baleada,Fuera de Casa
800,2015,Lima,Lima,25,Pareja o ex pareja,Asfixiada o estrangulada,Casa
801,2015,Amazonas,Utcubamba,29,Pareja o ex pareja,Golpeada,Casa
802,2015,Áncash,Yungay,26,Pareja o ex pareja,Acuchillada,Fuera de Casa
803,2015,Áncash,Huaraz,32,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
804,2015,Pasco,Pasco,24,Pareja o ex pareja,Envenenada,Casa
805,2015,La Libertad,Trujillo,42,Pareja o ex pareja,Acuchillada,Casa
806,2015,Lima,Lima,19,Pareja o ex pareja,Acuchillada,Casa
807,2015,Lima,Lima,14,Pareja o ex pareja,Golpeada,Casa
808,2015,Arequipa,Islay,43,Pareja o ex pareja,Baleada,Casa
809,2015,Arequipa,Caylloma,25,Pareja o ex pareja,Acuchillada,Casa
810,2015,Lima,Lima,42,Pareja o ex pareja,Baleada,Casa
811,2015,Callao,Callao,23,Pareja o ex pareja,Baleada,Casa
812,2015,Piura,Sechura,32,Pareja o ex pareja,Acuchillada,Casa
813,2015,Lima,Lima,29,Pareja o ex pareja,Acuchillada,Casa
814,2015,Lima,Lima,28,Pareja o ex pareja,Acuchillada,Casa
815,2015,La Libertad,Trujillo,21,Pareja o ex pareja,Acuchillada,Fuera de Casa
816,2016,Lima,Lima,42,Cliente de una trabajora sexual,Acuchillada,Fuera de Casa
817,2016,Lima,Cañete,21,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
818,2016,Lima,Lima,28,Pareja o ex pareja,Baleada,Fuera de Casa
819,2016,Tacna,Tacna,27,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
820,2016,Lima,Lima,65,Pareja o ex pareja,Golpeada,Casa
821,2016,Lima,Lima,25,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
822,2016,Ica,Ica,35,Pareja o ex pareja,Baleada,Casa
